# Generated using https://github.com/tstellanova/wmm2015_explorer/
#
# min alt: 1.000000 lat: -90.000000 lon: -180.000000 year: 2019.100000
# max alt: 100.000000 lat: 90.000000 lon: 180.000000 year: 2019.100000 
# step alt: 500.000000 lat: 5.000000 lon: 2.500000 year: 1.000000 
# ===============
# lat_deg, lon_deg, mag_x, mag_y, mag_z 
-90.00,-180.00,	-14425.589,  8531.690,-52056.493 
-90.00,-177.50,	-14039.712,  9152.805,-52056.493 
-90.00,-175.00,	-13627.110,  9756.497,-52056.493 
-90.00,-172.50,	-13188.567, 10341.617,-52056.493 
-90.00,-170.00,	-12724.920, 10907.051,-52056.493 
-90.00,-167.50,	-12237.049, 11451.723,-52056.493 
-90.00,-165.00,	-11725.885, 11974.597,-52056.493 
-90.00,-162.50,	-11192.400, 12474.675,-52056.493 
-90.00,-160.00,	-10637.610, 12951.008,-52056.493 
-90.00,-157.50,	-10062.570, 13402.687,-52056.493 
-90.00,-155.00,	 -9468.376, 13828.854,-52056.493 
-90.00,-152.50,	 -8856.158, 14228.697,-52056.493 
-90.00,-150.00,	 -8227.082, 14601.455,-52056.493 
-90.00,-147.50,	 -7582.345, 14946.417,-52056.493 
-90.00,-145.00,	 -6923.175, 15262.929,-52056.493 
-90.00,-142.50,	 -6250.826, 15550.387,-52056.493 
-90.00,-140.00,	 -5566.578, 15808.243,-52056.493 
-90.00,-137.50,	 -4871.734, 16036.008,-52056.493 
-90.00,-135.00,	 -4167.616, 16233.248,-52056.493 
-90.00,-132.50,	 -3455.565, 16399.586,-52056.493 
-90.00,-130.00,	 -2736.937, 16534.707,-52056.493 
-90.00,-127.50,	 -2013.098, 16638.353,-52056.493 
-90.00,-125.00,	 -1285.427, 16710.327,-52056.493 
-90.00,-122.50,	  -555.309, 16750.492,-52056.493 
-90.00,-120.00,	   175.865, 16758.772,-52056.493 
-90.00,-117.50,	   906.705, 16735.150,-52056.493 
-90.00,-115.00,	  1635.819, 16679.672,-52056.493 
-90.00,-112.50,	  2361.819, 16592.443,-52056.493 
-90.00,-110.00,	  3083.324, 16473.629,-52056.493 
-90.00,-107.50,	  3798.959, 16323.457,-52056.493 
-90.00,-105.00,	  4507.362, 16142.213,-52056.493 
-90.00,-102.50,	  5207.186, 15930.241,-52056.493 
